truth,detect1,detect2,detect3
fr,it,en,en
es,es,es,en
fr,fr,sl,fr
pt,gl,es,es
es,fr,lt,fr
es,it,ca,gl
pt,pt,pt,pt
pt,es,es,it
es,es,ca,es
pt,pt,pt,pt
es,en,en,en
fr,es,es,fr
fr,cy,en,en
pt,en,fr,pt
fr,ro,en,en
fr,en,en,en
en,en,cy,en
fr,en,en,fr
fr,fr,fr,fr
pt,pt,ca,es
es,tl,fi,en
es,it,nl,lt
es,es,pt,es
pt,pt,ca,de
pt,es,sk,en
es,it,pt,it
es,es,en,pt
nl,nl,nl,nl
nl,nl,nl,nl
en,cy,cy,en
pt,gl,it,es
es,de,ca,de
en,en,nl,en
de,de,de,de
es,es,es,es
pt,sv,ca,es
es,es,it,en
es,es,es,es
en,en,en,de
es,br,pt,en
es,en,no,es
es,en,en,en
es,sl,ca,ms
pt,es,es,en
en,en,en,en
fr,no,fr,ast
pt,pt,pt,en
es,ro,ca,pt
es,it,en,en
es,id,en,ca
es,en,en,en
es,en,en,pt
es,es,es,es
pt,tl,it,de
es,eo,es,es
es,es,fi,en
en,en,da,fr
en,en,sv,en
es,es,es,ca
es,pt,pt,pt
es,es,es,es
es,es,es,es
pt,gl,ca,pt
es,it,pt,it
es,pt,es,es
es,es,da,es
fr,fr,fr,fr
es,gl,es,pt
fr,fr,af,fr
en,no,no,en
es,da,af,ro
es,da,af,ro
fr,ga,cy,es
en,de,no,en
fr,de,fr,en
fr,fr,fr,fr
fr,fr,fr,fr
fr,ro,ro,en
en,fr,ca,fr
en,en,cy,it
en,en,cy,it
fr,en,tl,en
fr,en,fi,en
es,es,ca,ca
es,es,it,it
es,it,it,tl
es,en,nl,en
en,de,de,de
es,es,af,fr
es,en,ca,es
es,es,es,es
es,sl,sl,en
es,es,es,es
en,fr,en,ia
en,en,sl,de
en,id,nl,nl
nl,nl,nl,nl
fr,fr,en,en
es,es,es,en
es,en,pt,or
es,xh,ro,es
no,nb,da,no
es,es,sv,es
es,it,it,de
no,nl,da,no
no,nl,da,no
es,fr,pt,pt
es,de,de,en
es,ro,ca,ro
es,en,en,en
es,es,pt,es
es,en,en,en
fr,fr,ro,en
en,en,tl,en
pt,pt,pt,pt
es,it,en,nl
es,es,it,fr
pt,it,it,en
es,pt,es,pt
es,de,en,de
pt,it,it,it
en,en,en,nl
es,en,af,en
es,es,it,pt
es,es,pt,es
es,it,it,fr
es,it,ro,en
es,pt,ro,it
es,pt,en,en
es,sl,no,es
es,es,da,es
fr,it,fr,pt
fr,fr,it,fr
es,it,ca,es
es,es,da,es
es,lt,lv,nl
pt,pt,ca,pt
pt,cy,pt,pt
es,sv,fr,ko
pt,es,en,nl
es,es,es,es
es,lt,lt,en
pt,ca,pt,es
es,lv,es,it
es,it,it,en
es,it,it,it
es,it,it,es
es,es,es,lt
es,sl,sl,en
es,de,en,es
es,de,nl,es
en,en,tl,en
es,eu,it,es
es,it,it,os
es,mt,ca,pt
es,xh,ca,en
es,es,ca,zh
fr,it,sv,tl
fr,ro,tr,en
en,tr,en,en
es,it,ca,ca
es,gl,pt,es
es,it,it,en
pt,it,ca,nl
pt,it,ca,es
es,pt,es,es
en,en,fr,en
en,es,et,it
es,es,es,pt
fr,sl,sl,en
es,de,af,it
fr,fr,fr,fr
fr,fr,fr,fr
es,es,es,es
es,es,es,eo
es,it,es,es
es,es,es,es
es,it,it,en
es,nn,es,jv
es,pt,it,pt
pt,pt,pt,pt
en,ga,sv,en
es,it,ca,ca
es,it,en,ca
es,gl,es,es
es,de,ca,en
es,es,it,fi
es,es,it,fi
pt,it,it,pt
es,tl,ca,en
en,da,da,en
en,da,da,en
pt,sl,sk,it
en,en,en,en
es,sl,sl,it
es,en,en,fr
es,es,es,pt
es,en,es,it
fr,fr,fr,fr
es,es,ca,es
es,es,pt,es
es,it,it,it
es,cs,de,en
pt,en,en,it
es,es,da,es
es,en,fi,en
es,it,pt,ms
fr,en,nl,en
pt,en,en,ca
pt,en,en,ca
es,pt,es,es
es,ga,en,de
es,es,es,jbo
es,gl,es,gl
en,en,fr,en
es,lb,en,fr
es,it,es,es
es,it,es,ca
es,de,no,en
es,en,id,it
es,it,tl,en
es,es,sl,es
es,en,en,en
es,es,so,gl
fr,it,no,eo
fr,tl,it,lt
fr,fr,fr,fr
fr,de,fr,war
es,fr,ro,en
es,sl,it,en
es,es,es,es
es,es,es,en
en,pt,ca,en
es,pt,es,es
es,it,ca,en
es,it,ca,en
es,en,en,es
es,it,pt,en
fr,nl,af,nl
pt,pt,pt,pt
fr,ro,da,fr
pt,it,ca,es
fr,fr,af,ca
fr,en,fr,fr
en,nl,nl,de
es,es,ca,pt
es,mt,sq,en
es,pt,es,es
es,en,en,en
es,fi,fi,en
es,es,pt,es
es,ms,ro,es
es,en,ro,es
fr,fr,fr,fr
pt,es,es,es
es,no,it,es
es,en,pl,fr
en,nl,en,en
en,nl,af,nl
es,es,es,es
es,it,pt,eo
es,it,es,en
es,it,pt,it
en,fi,et,en
